AirportCodeCityNameWorldAreaCode
AGL,WANIGELA,PAPUANEWGUINEA,804
AGM,ANGMAGSSALIK,GREENLAND,975
AGN,ANGOON,ALASKA,USA,1
AGO,MAGNOLIA,ARKANSAS,USA,71
AGP,MALAGA,SPAIN,482
AGQ,AGRINION,GREECE,433
AGR,AGRA,INDIA,733
AGS,AUGUSTA,GEORGIA,USA,34
AGT,CIUDADPRES.STROESSNER,PARAGUAY,365
AGU,AGUASCALIENTES,MEXICO,148
AGV,ACARIGUA,VENEZUELA,388
AGW,AGNEW,QLD.,AUSTRALIA,802
AGX,AGATTIISLAND,INDIA,733
AGY,ARGYLEDOWNS,W.AUSTRALIA,802
AGZ,AGGENEYS,SOUTHAFRICA,562
AHA,OKINAWA,JAPAN--NAHAAFB,736
AHB,ABHA,SAUDIARABIA,670
AHD,ARDMORE,OKLAHOMA,USA,73
AHF,ARAPAHOE,NEBRASKA,USA,65
AHH,AMERY,WISCONSIN,USA,45
AHI,AMAHAI,INDONESIA,832
AHL,AISHALTON,GUYANA,350
AHN,ATHENS,GEORGIA,USA,34
AHO,ALGHERO,ITALY,450
AHS,AHUAS,HONDURAS,131
AHT,AMCHITKA,ALASKA,USA,1
AHU,ALHOCEIMA,MOROCCO,548
AHY,AMBATOLAHY,DEM.REP.MADAGASCAR,541
AHZ,ALPED'HUEZ,FRANCE,427
AIA,ALLIANCE,NEBRASKA,USA,65
AIB,ANITABAY,ALASKA,USA,1
AIC,AIROK,MARSHALLISLANDS,844
AID,ANDERSON,INDIANA,USA,42
AIE,AIOME,PAPUANEWGUINEA,804
AIF,ASSIS,BRAZIL,316
AIG,YALINGA,CEN.AFRICANREPUBLIC,509
AII,ALISABIEH,PEOP.REPOFDJIBOUTI,525
AIK,AIKEN,SOUTHCAROLINA,USA,37
AIL,AILIGANDI,PANAMAREPUBLIC,162
AIM,AILUK,MARSHALLISLANDS,844
AIN,WAINWRIGHT,ALASKA,USA,1
AIO,ATLANTIC,IOWA,USA,61
AIP,AILINGLAPALAP,MARSHALLISLANDS,844
AIR,ARIPUANA,MT,BRAZIL,316
AIS,ARORAE,REP.OFKIRIBATI,824
AIT,AITUTAKI,COOKIS.,S.PACIFIC,813
AIU,ATIU,COOKIS.,S.PACIFIC,813
AIV,ALICEVILLE,ALABAMA,USA,51
AIY,ATLANTICCITY,NEWJERSEY,USA,21
AIZ,LAKEOFTHEOZARKS,MISSOURI,USA,64
AJA,AJACCIO,CORSICA,FRANCE,427
AJF,JOUF,SAUDIARABIA,670
AJJ,AKJOUJT,MAURITANIA,545
AJL,AIJAL,INDIA,733
AJN,ANJOUAN,COMOROIS.,513
AJO,ALJOUF,YEMEN,694
AJR,ARVIDSJAUR,SWEDEN,484
AJS,ABREOJOS,MEXICO,148
AJU,ARACAJU,BRAZIL,316
AJY,AGADES,NIGER,554
AKA,ANKANG,CHINA,713
AKB,ATKAISLAND,ALASKA,USA,1
AKC,AKRON/CANTON,OHIO-FULTON,USA,44
AKD,AKOLA,INDIA,733
AKE,AKIENI,GABON,526
AKF,KUFRAH,LIBYA,538
AKG,ANGUGANAK,PAPUANEWGUINEA,804
AKI,AKIAK,ALASKA,USA,1
AKJ,ASAHIGAWA,JAPAN,736
AKK,AKHIOK,ALASKA,USA,1
AKL,AUCKLAND,NEWZEALAND,851
AKM,ZAKOUMA,CHAD,511
AKN,KINGSALMON,ALASKA,USA,1
AKO,AKRON,COLORADO,USA,82
AKP,ANAKTUVUKPASS,ALASKA,USA,1
AKQ,ASTRAKSETRA,INDONESIA,832
AKR,AKURE,NIGERIA,555
AKS,AUKI,SOLOMONIS.,874
AKT,AKROTIRI,CYPRUS,611
AKU,AKSU,CHINA,713
AKV,AKULIVIK,QUE.,CANADA,941
AKX,AKTYUBINSK,KAZAKHSTAN,738
AKY,SITTWE,MYANMAR,706
ALA,ALMA-ATA,KAZAKHSTAN,738
ALB,ALBANY,NEWYORK,USA,22
ALC,ALICANTE,SPAIN,482
ALD,ALERTA,PERU,368
ALE,ALPINE,TEXAS,USA,74
ALF,ALTA,NORWAY,465
ALG,ALGIERS,ALGERIA,500
ALH,ALBANY,W.AUSTRALIA,802
ALI,ALICE,TEXAS,USA,74
ALJ,ALEXANDERBAY,SOUTHAFRICA,562
ALK,ASELA,ETHIOPIA,522
ALL,ALBENGA,ITALY,450
ALM,ALAMOGORDO,NEWMEXICO,USA,86
ALN,ALTON,ILLINOIS,USA,41
ALO,WATERLOO,IOWA,USA,61
