Origin,Destination,Count
DTW,MSP,4947
DTW,ORD,7553
DTW,PHL,2791
DTW,PHX,2928
DTW,STL,2516
ELP,DFW,2901
ELP,PHX,4136
EWR,ATL,8060
EWR,BOS,3870
EWR,CLT,5945
EWR,CVG,3095
EWR,DFW,3729
EWR,DTW,4419
EWR,FLL,4432
EWR,IAH,3989
EWR,LAX,3239
EWR,MCO,4978
EWR,MIA,2873
EWR,MKE,2523
EWR,MSP,3103
EWR,ORD,7505
EWR,PBI,2769
EWR,PHX,2601
EWR,SFO,2777
EWR,TPA,2838
FAI,ANC,2853
FAT,LAX,4022
FLL,ATL,7666
FLL,BWI,2704
FLL,CLT,2947
FLL,EWR,4431
FLL,JFK,4699
FLL,LGA,3149
FLL,PHL,2977
FLL,TPA,3036
FNT,ATL,3133
FWA,ORD,2958
GEG,SEA,4372
GPT,ATL,3441
GRB,ORD,3634
GRK,DFW,2565
GRR,DTW,2655
GRR,ORD,3696
GSO,ATL,2848
HNL,ITO,7685
HNL,KOA,8745
HNL,LAX,4963
HNL,LIH,10769
HNL,OGG,12014
HOU,ATL,3595
HOU,DAL,9766
HOU,HRL,2967
HOU,MSY,3726
HOU,SAT,2572
HPN,ORD,3626
HRL,HOU,2949
HSV,ATL,2622
IAD,ATL,5362
IAD,BOS,3846
IAD,CLT,2762
IAD,DEN,2984
IAD,LAX,4092
IAD,MCO,4244
IAD,ORD,2948
IAD,SFO,3139
IAH,ATL,4989
IAH,AUS,3704
IAH,BNA,2547
IAH,CLT,3709
IAH,DAL,3730
IAH,DCA,2941
IAH,DEN,4584
IAH,DFW,5539
IAH,DTW,2742
IAH,EWR,3970
IAH,LAS,2682
IAH,LAX,3867
IAH,LFT,2703
IAH,LGA,3399
IAH,MCI,2516
IAH,MEM,3046
IAH,MFE,2665
IAH,MIA,2735
IAH,MSY,4248
IAH,OKC,2625
IAH,ORD,5651
IAH,PHX,4176
IAH,SAT,3760
IAH,SFO,2655
IAH,SLC,2696
ICT,ATL,3146
ICT,ORD,3005
IND,ATL,3515
IND,DTW,2558
IND,ORD,4102
ITO,HNL,7386
JAN,ATL,2704
JAN,DFW,2605
JAX,ATL,5656
JAX,CLT,2520
JFK,BOS,7513
JFK,BUF,3674
JFK,DCA,2941
JFK,FLL,4696
JFK,LAS,4471
JFK,LAX,8078
JFK,MCO,5373
JFK,MIA,2737
JFK,ORD,3672
JFK,PBI,2534
JFK,RDU,4149
JFK,SFO,6591
JFK,SJU,3565
JFK,TPA,3390
KOA,HNL,9038
LAS,ATL,4761
LAS,BUR,5154
LAS,DEN,8165
LAS,DFW,4959
LAS,IAH,2678
LAS,JFK,4481
LAS,LAX,11729
LAS,MDW,3836
LAS,OAK,4693
LAS,ONT,3501
LAS,ORD,5235
LAS,PDX,3568
LAS,PHL,2829
LAS,PHX,10626
LAS,RNO,4492
LAS,SAN,5895
LAS,SEA,5065
LAS,SFO,6994
LAS,SJC,4148
LAS,SLC,5378
LAS,SMF,4054
LAS,SNA,4115
LAX,ATL,5402
LAX,DEN,8894
LAX,DFW,6571
LAX,EWR,3249
LAX,FAT,4045
LAX,HNL,4964
LAX,IAD,3836
LAX,IAH,3849
LAX,JFK,8058
LAX,LAS,11773
LAX,MRY,2763
LAX,OAK,7583
LAX,ORD,7333
LAX,PDX,3503
LAX,PHX,9897
LAX,PSP,2596
LAX,SAN,11257
LAX,SBA,4554
LAX,SBP,2684
LAX,SEA,6876
LAX,SFO,13390
LAX,SJC,8908
LAX,SLC,5178
LAX,SMF,5692
LAX,TUS,4141
LBB,DAL,2679
LBB,DFW,3015
LFT,IAH,2702
LGA,ATL,10507
LGA,BOS,12035
LGA,CLE,2920
LGA,CLT,4958
LGA,CVG,3635
LGA,DCA,11063
LGA,DEN,2970
LGA,DFW,5372
LGA,DTW,4601
LGA,FLL,3152
LGA,IAH,3418
LGA,MCO,3158
LGA,MIA,3586
LGA,MSP,2719
LGA,ORD,10862
LGA,RDU,4423
LIH,HNL,10407
LIT,ATL,2526
LIT,DFW,3245
MCI,ATL,4140
MCI,DAL,3943
MCI,DEN,5256
MCI,DFW,2877
